,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,Rent Frequnecy,Accommodation Types
0, الرياض,   حي الجنادرية ,شرق,246,0,5,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,40000,Unkown,Unkown
1, جدة,   حي بريمان ,جنوب,350,0,7,5,2,1,1,0,1,0,0,1,0,0,0,1,1,1,0,45000,Unkown,house
2, الرياض,   حي الرمال ,جنوب,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,39600,Monthly,floor
3, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,Unkown,house
4, الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,Unkown,house
5, الرياض,   حي الروضة ,شرق,900,15,4,4,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,150000,Unkown,house
6, الرياض,   حي المصيف ,غرب,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000,Unkown,house
7, جدة,   حي البساتين ,شرق,300,7,3,4,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,115000,Unkown,house
8, الدمام,   حي الشعلة ,غرب,345,4,5,5,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,60000,Unkown,house
9, الخبر,   حي المدينة الرياضية ,جنوب غربي,200,7,5,4,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,43000,Unkown,apartment
10, جدة,   حي الشاطئ ,شمال,300,0,5,5,2,1,1,1,1,1,1,1,1,1,0,1,1,0,0,250000,Unkown,Unkown
11, الخبر,   حي مدينة العمال ,جنوب شرقي,348,30,5,5,3,1,0,0,1,0,0,0,0,1,0,0,1,0,0,65000,Unkown,house
12, جدة,   حي الزهراء ,جنوب,380,5,4,4,4,1,1,1,1,0,1,1,0,1,0,1,1,0,1,185000,Unkown,house
13, الخبر,   حي الصواري ,شمال,312,0,5,5,3,0,0,0,0,0,0,1,0,1,0,1,1,0,0,45000,Unkown,house
14, الدمام,   حي السيف ,غرب,300,11,6,5,2,1,1,1,1,0,1,1,0,1,0,1,1,0,0,75000,Unkown,house
