,city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price,details
521, الرياض,   حي الجنادرية ,شرق,246,0,5,5,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,40000,درج داخلي للايجار التوالصل 0538143083
1653, جدة,   حي بريمان ,جنوب,350,0,7,5,2,1,1,0,1,0,0,1,0,0,0,1,1,1,0,45000,فلة روف مكونه من٩غرف و٧حمامات وسطح مرة كبير ونقبل٤٥الف نقبل علي ٣دفعات شامله الميه والصرف علي صاحب العمارة وتبعدعن المطارالجديد٥دقايق للتواصل علي الرقم٠٥٦٧٩٤٧٥٨٥ وشاهد باقي عروضنا👇🏻👇🏻👇🏻
131, الرياض,   حي الرمال ,جنوب,280,3,4,3,1,0,1,0,1,0,0,0,0,1,0,0,1,0,1,3300,"درج داخلي للأيجار  شهري3300
المواصفات 
الأرضي
مشب
مجلس
مقلط 
صاله 
غرفه كبار سن ماستر
الدور الأول ثلاث غرف نوم واحده منهم ماستر 
الدورالثاتتي غرفه خادمه حمام 
للمفاهمه الاتصال اوتساب 0502750832"
2284, الدمام,   حي ضاحية الملك فهد ,شمال,250,5,5,5,3,1,1,0,1,0,1,1,0,1,0,0,1,0,0,36000,"للايجار فيلا دبلكس دورين وملحق في ضاحيه الملك فهد بالدمام الحي الثالث الرابع 
مساحه ٢٥٠ متر 
ثلاث أدوار 
الدبلكس مستخدم 
السعر الايجار ٣٦ الف في السنه 
طريقه الدفع ( كل سته شهور/ كل ثلاث شهور )"
65, الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000,"الجزء الثالث والاخير للتصوير
==================


فيلا مجددة بالكامل( درج بالصالة ) للايجار :
==========================

      فيلا (درج بالصالة) مجددة بالكامل حديثة التشطيب من اسقف جبسية ودهانات مختارة وادوات صحية وبلاط .

وتتكون الفيلا من ( 3 مداخ..."
175, الرياض,   حي الروضة ,شرق,900,15,4,4,2,1,1,1,1,0,1,1,0,1,0,0,1,0,1,150000,"فيلا للايجار بحي الروضه 
مجلس وصاله ومقلط ومطبخ وملحق خارجي وحوش كبير وغرفه سائق ومدخل سيارة 
الدور الأول جناح كبير وثلاث غرف نوم 
راكبه مكيفات ومطبخ
السعر في تفاوض"
158, الرياض,   حي المصيف ,غرب,500,10,5,5,5,1,1,1,1,0,1,1,0,1,1,0,1,1,0,150000,"فيلا بحي المصيف للايجار 
خمس اجنحة وقبو مجالس وصالات كبيرة مجددة بالكامل مكيفات مطابخ راكبة موقع مميز بناء شخصي"
993, جدة,   حي البساتين ,شرق,300,7,3,4,3,1,1,1,1,1,1,1,1,1,0,1,1,0,0,115000,"فيلا فاخرة للايجار  مؤثثة بالكامل حي البساتين 
رمز العقار 1031
عمر العقار  5 سنوات مجدد بالكامل 
يقع الفيلا   بمدينة شمال جدة حي البساتين قرين من مطار 
دورين والملحق و بدروم 
مساحة الارض 340 م 
مساحة المباني 490 م 
الدور الأرضي
صالة -صالون (مجلس)مطبخ..."
1922, الدمام,   حي الشعلة ,غرب,345,4,5,5,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,60000,"للايجار 
دبلكس منفصل في حي الرحاب الدمام
معلوماته: 
المساحه ٣٤٥م 
الدور الارضي: استقبال 
الدور الاول: صاله وبوفيه و٤ غرف نوم ثنتين منهم ماستر.
الملحق: غرفه وحمام+ غرفة غسيل.

الإيجار ٦٠ الف. 

تحياتي .."
3217, الخبر,   حي المدينة الرياضية ,جنوب غربي,200,7,5,4,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,43000,"شقه دوبلكس تتكون من 2 طابق مدخل خاص 
بالراكه الشماليه خلف بنده 
الطابق العلوي 
3 غرف نوم وصاله ومجلس ومطبخ و3 حممات 
الدور الاخير 
غرفتين وحمام وسطح 
مكيفه سبليت بالكامل 
السعر المطلوب 43000
للتواصل 

‭055 778 7836‬
في حاله عدم الرد يرجي التواصل واتس"
